name,likes,downloads,last_modified,decision_score
The-Programmer-With-Cool-Pens/TifaBotAIPackage,0,21,2021-08-26 21:50:05+00:00,-0.0146006531888827
TheBakerCat/2chan_ruGPT3_small,0,24,2021-05-21 11:26:24+00:00,-0.1268609435429298
TheCatsMoo/DialoGGPT-small-joshua,0,21,2021-09-18 11:09:22+00:00,-0.0323506542299648
ThePeachOx/DialoGPT-small-harry,0,21,2022-02-12 00:35:05+00:00,-0.0354761990688287
Thejas/DialoGPT-small-elon,0,21,2021-11-04 13:47:03+00:00,-0.0808804799147273
Tidum/DialoGPT-large-Michael,0,23,2022-02-06 19:59:38+00:00,-0.1218002152817259
Tofu05/DialoGPT-large-boon2,0,22,2022-01-30 11:45:16+00:00,-0.026665604171445
TofuBoy/DialoGPT-medium-Yubin2,0,22,2022-01-21 10:11:18+00:00,-0.0729047844704234
TofuBoy/DialoGPT-medium-boon,0,21,2022-01-23 05:46:38+00:00,-0.0335540243480576
UKJ5/DialoGPT-small-harrypotter,0,21,2021-12-30 16:07:33+00:00,-0.0010554975796726
Ulto/avengeeers,0,21,2021-11-21 00:35:55+00:00,-0.0844474499039057
Ulto/avengers2,0,22,2021-11-21 01:13:26+00:00,-0.0434036086947841
Username1/Mourinhio-medium,0,21,2021-09-10 20:52:27+00:00,-0.0770641910537009
Username1/Wenger,0,21,2021-09-11 18:58:31+00:00,-0.0259142082021376
Vampiro/DialoGPT-small-dante_b,0,21,2021-09-16 04:25:49+00:00,-0.0164119237082484
Vampiro/DialoGPT-small-dante_c,0,21,2021-09-21 03:51:23+00:00,-0.02074481754431
Verge/Peterbot,0,21,2022-03-02 04:28:19+00:00,-0.0662352373644258
Vivek/GPT2_GSM8k,0,26,2021-11-29 15:27:55+00:00,-0.0522843546638895
WarrenK-Design/DialoGPT-small-Rick,0,21,2021-08-31 16:30:11+00:00,-0.042786036436493
White/white-bot,0,23,2021-09-06 14:13:46+00:00,-0.1020248474934909
WoutN2001/james3,0,22,2021-11-09 12:47:58+00:00,-0.0311364158871462
Xeouz/Ultron-Small,0,21,2021-10-09 08:22:19+00:00,-0.0126563346011493
YYJ/KunquChat,0,23,2021-12-23 07:21:17+00:00,-0.1089159069620741
Yoshisaur/kono-chat,0,22,2022-02-08 20:49:24+00:00,-0.0520878153009585
YusufSahin99/IFIS_ZORK_AI_FANTASY,0,21,2021-07-14 13:18:10+00:00,-0.0970325668298007
YusufSahin99/IFIS_ZORK_AI_HORROR,0,23,2021-07-14 14:11:24+00:00,-0.0607519192720363
YusufSahin99/Zork_AI_SciFi,0,21,2021-07-13 14:58:01+00:00,-0.0908131490249278
Zane/Ricky3,0,22,2021-07-29 14:50:17+00:00,-0.0527862146594972
Zixtrauce/BrandonBot2,0,20,2022-01-01 22:09:01+00:00,-0.0802008947961534
Zixtrauce/JohnBot,0,19,2022-01-02 06:43:38+00:00,-0.0845826597944292
Zohar/distilgpt2-finetuned-restaurant-reviews,0,20,2022-02-16 12:53:21+00:00,-0.1123559203059292
abhinema/distillgpt2,0,52,2022-02-27 04:08:32+00:00,-0.0155351884373375
abhinema/gpt-medium,0,21,2022-03-04 04:21:57+00:00,-0.0776690887346422
abhinema/testauto,0,21,2022-01-03 03:39:47+00:00,-0.0213940213819614
aced/DialoGPT-medium-3PO,0,19,2021-08-29 02:03:01+00:00,-0.0246387855496666
addy88/gpt-neo-netflix,0,3,2022-01-02 06:33:26+00:00,-0.0232019159256038
aimiekhe/yummv1,0,19,2021-06-06 02:38:56+00:00,-4.751468666253089e-05
ainize/gpt2-rnm-with-season-1,0,21,2021-05-21 12:08:00+00:00,-0.0123075098921331
ainize/gpt2-simpsons-script-large,0,22,2021-05-21 12:13:28+00:00,-0.0533940006195529
alenusch/rugpt3-paraphraser,0,1739,2021-05-21 12:54:09+00:00,-0.0850431455180085
alexLopatin/alex-ai,0,24,2021-05-21 12:57:15+00:00,-0.0453501157618404
alienspaceman/rus_dreamgen_fulltext_medium,0,22,2021-05-21 13:06:00+00:00,-0.0652637359390697
alistvt/bert-base-uncased-pretrained-clm-coqa-stories,0,3,2022-01-21 12:36:10+00:00,-0.0771543231714005
aluserhuggingface/DialoGPT-small-harrypotter,0,20,2022-02-18 19:41:48+00:00,-0.0117642413537544
alvinkobe/DialoGPT-small-KST,0,20,2021-10-12 01:21:56+00:00,-0.1038180585141202
amild01/GPT2-german-chefkoch,0,23,2021-09-08 16:01:18+00:00,-0.0708825137964282
andikarachman/DialoGPT-small-sheldon,0,20,2021-12-11 14:51:37+00:00,-0.0006150837720845
ann101020/le2sbot-hp,0,20,2021-06-04 11:59:14+00:00,-0.0737961273640015
anshengli2/DialogGPT-small-Bot,0,20,2021-09-13 05:39:55+00:00,-0.0050229483703881
anweasha/DialoGPT-small-Jake,0,20,2022-02-12 16:10:13+00:00,-0.1020248474934909
archmagos/HourAI,0,39,2023-03-18 18:07:36+00:00,-0.0033164901569924
ardatasc/miniMe-version1,0,20,2021-09-09 11:01:10+00:00,-0.0593395337605529
arifbhrn/DialogGPT-small-Rickk,0,20,2021-08-29 15:08:58+00:00,-0.0033164901569924
asakawa/distilgpt2-finetuned-wikitext2,0,19,2022-01-06 07:50:50+00:00,-0.0796148866087564
augustojaba/DialoGPT-small-harrypotter,0,20,2021-09-02 00:59:12+00:00,-0.0287063648123823
aviator-neural/gpt2-donald_trump,0,19,2022-01-24 22:09:58+00:00,-0.052619746301128
avinashshrangee/DialoGPT-small-Ricky,0,20,2022-02-17 09:14:03+00:00,-0.0068325264001567
avnish100/DialoGPT-small-rick,0,20,2021-09-10 12:49:46+00:00,-0.0112488918367187
awvik360/DialoGPT-medium-plemons,0,21,2021-06-22 23:35:44+00:00,-0.0266604199569753
aypan17/gpt2-med-imdb,0,24,2022-02-25 06:23:54+00:00,-0.027701725773797
bagdaebhishek/IndianPoliticalTweetsLM,0,21,2021-09-22 07:49:02+00:00,-0.0541410630821964
bala1802/model_1_test,0,21,2021-05-21 13:59:23+00:00,-0.0113330681577243
balawmt/LanguageModel_Trial_1,0,21,2021-05-21 14:03:49+00:00,-0.1268609435429298
balta/DialoGPT-small-TestBot,0,20,2021-09-16 21:26:26+00:00,-0.0157819540576008
begar/distilgpt2-finetuned,0,22,2022-01-14 22:01:35+00:00,-0.0165781184445316
benajtil/DialoGPT-small-RickAndMortyScripts,0,20,2022-01-28 12:46:48+00:00,-0.1070686834984361
benbeshara/vic_presser_bot,0,21,2021-09-13 13:06:19+00:00,-0.0915177520900386
benjamin/gpt2-wechsel-swahili,0,36,2023-05-30 09:55:30+00:00,-0.0060970546174288
benmrtnz27/DialoGPT-small-misato,0,21,2021-11-28 07:45:51+00:00,-0.0945123782208318
bensuydam/CartmanBot,0,20,2022-02-16 02:48:19+00:00,-0.0962735021308784
beomus/lotr-gpt,0,35,2023-06-19 01:57:06+00:00,-0.0284044834390426
bhavya689/DialoGPT-large-chandler,0,20,2021-11-13 16:30:43+00:00,-0.0469141784835085
bigjoedata/friendlychatbot,0,22,2021-05-21 14:13:11+00:00,-0.0390695058315602
bigjoedata/trump-gpt2-sm,0,21,2021-05-21 14:21:14+00:00,-0.0599751392520954
birgermoell/nordic-gpt-wiki,0,35,2023-09-11 19:45:33+00:00,-0.0133006982084766
bleachybrain/DialoGPT-med-ss,0,20,2022-04-27 01:50:52+00:00,-0.0791989090758568
bookbot/gpt2-indo-medium-kids-stories,0,49,2023-06-21 04:32:31+00:00,-0.1329110929622604
boran/berkbot,0,20,2021-08-27 19:37:21+00:00,-0.0037481571684193
